,name_original,address,address_clean,barangay,district,major_division,sub_division,category,source_reference,open_hours,close_hours,longitude,latitude,frequency_mon_fri,frequency_saturday,frequency_sunday,bus_route,data_source
414,Don Crispulo,"Bering St. cor Don Crispulo Street, Area V, Brgy. Gulod","Bering Street corner Don Crispulo Street, Area V, Barangay Gulod, Quezon City, Philippines",Gulod,5,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0450731,14.7114043,#N/A,#N/A,#N/A,#N/A,Administrative data
415,Don Fabian,"Don Fabian, Brgy. Commonwealth","Don Fabian, Barangay Commonwealth, Quezon City, Philippines",Commonwealth,2,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0822901,14.7012751,#N/A,#N/A,#N/A,#N/A,Administrative data
418,Don Manuel,L. Castillo corner Matimyas St. Brgy. Don Manuel,"L. Castillo corner Matimyas Street Barangay Don Manuel, Quezon City, Philippines",Don Manuel,4,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0044846,14.6157602,#N/A,#N/A,#N/A,#N/A,Administrative data
420,Doña Aurora,E. Jacinto St. Brgy. Doña Aurora,"E. Jacinto Street Barangay Doña Aurora, Quezon City, Philippines",Doña Aurora,4,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.010542,14.615035,#N/A,#N/A,#N/A,#N/A,Administrative data
421,Doña Josefa,Brgy. Doña Josefa Brgy. Hall Agno cor. Kitanlad St.,"Barangay Doña Josefa Barangay Hall Agno corner Kitanlad Street, Quezon City, Philippines",Doña Josefa,4,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.005126,14.6190141,#N/A,#N/A,#N/A,#N/A,Administrative data
424,Doña Rosario,"Ground Floor Multi-purpose Bldg., P. Tupaz St., Doña Rosario, Brgy. Novaliches Proper","Ground Floor Multi-purpose Building, P. Tupaz Street, Doña Rosario, Barangay Novaliches Proper, Quezon City, Philippines",Novaliches Proper,5,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0368336,14.7160726,#N/A,#N/A,#N/A,#N/A,Administrative data
431,Dupax I,"Road 44 Dupax St., Bgy. Satellite, Brgy. Matandang Balara","Road 44 Dupax Street, Barangay Satellite, Barangay Matandang Balara, Quezon City, Philippines",Matandang Balara,3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0829482,14.6748634,#N/A,#N/A,#N/A,#N/A,Administrative data
432,Duyan-duyan,"Kamagong St., cor. Kalanatas St., Brgy. Duyan-duyan","Kamagong Street, corner Kalanatas Street, Barangay Duyan-duyan, Quezon City, Philippines",Duyan-duyan,3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0671672,14.6302485,#N/A,#N/A,#N/A,#N/A,Administrative data
433,E. Castillo,"E. Castillo St., Brgy. Commonwealth","E. Castillo Street, Barangay Commonwealth, Quezon City, Philippines",Commonwealth,2,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0845298,14.7002232,#N/A,#N/A,#N/A,#N/A,Administrative data
437,E. Rodriguez Sr.,"181 Ermin Garcia St., Cubao, Brgy. E. Rodriguez Sr.","181 Ermin Garcia Street, Cubao, Barangay E. Rodriguez Sr., Quezon City, Philippines",E. Rodriguez,3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0548217,14.6284998,#N/A,#N/A,#N/A,#N/A,Administrative data
443,East Anak Bayan,75 Anakbayan Dulo St.,"75 Anakbayan Dulo Street, Quezon City, Philippines",Paltok,1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0249887,14.6452258,#N/A,#N/A,#N/A,#N/A,Administrative data
444,East Kamias,"65 K 10th St., Brgy. East Kamias","65 K 10th Street, Barangay East Kamias, Quezon City, Philippines",East Kamias,3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0541119,14.6307717,#N/A,#N/A,#N/A,#N/A,Administrative data
460,Empire,"Empire St., Brgy. Payatas","Empire Street, Barangay Payatas, Quezon City, Philippines",Payatas,2,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.1108895,14.7183298,#N/A,#N/A,#N/A,#N/A,Administrative data
468,Escopa 2,"Mapagmahal St., Barangay Hall, Brgy. Escopa 2","Mapagmahal Street, Barangay Hall, Barangay Escopa 2, Quezon City, Philippines",Escopa 2,3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
469,Escopa 3A,"P. Burgos PUD Site Bliss, Brgy. Hall Compound, Project 4, Brgy. Escopa 3","P. Burgos PUD Site Bliss, Barangay Hall Compound, Project 4, Barangay Escopa 3, Quezon City, Philippines",Escopa 3,3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0723165,14.6277065,#N/A,#N/A,#N/A,#N/A,Administrative data
470,Escopa 3B,"P. Burgos PUD Site Bliss, Brgy. Hall Compound, Project 4, Brgy. Escopa 3","P. Burgos PUD Site Bliss, Barangay Hall Compound, Project 4, Barangay Escopa 3, Quezon City, Philippines",Escopa 4,3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
