,name_original,address,address_clean,barangay,district,major_division,sub_division,category,source_reference,open_hours,close_hours,longitude,latitude,frequency_mon_fri,frequency_saturday,frequency_sunday,bus_route,data_source
61,Apo Ville,"Multi-Purpose Hall Delta Vill. Ext., Tandang Sora","Multi-Purpose Hall Delta Village Extension, Tandang Sora, Quezon City, Philippines",Tandang Sora,6,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0381909,14.686686,#N/A,#N/A,#N/A,#N/A,Administrative data
62,Apolonio Samson,"Kaingin Rd., Bgy. Hall Apolonio Samson","Kaingin Road, Barangay Hall Apolonio Samson, Quezon City, Philippines",Apolonio Samson,6,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0116936,14.6553282,#N/A,#N/A,#N/A,#N/A,Administrative data
63,Apolonio Samson Annex,Bgy. Apolonio Samson,"Barangay Apolonio Samson, Quezon City, Philippines",Apolonio Samson,6,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0116936,14.6553282,#N/A,#N/A,#N/A,#N/A,Administrative data
70,Area 3 Sitio Talanay,"Lot 16 Block 26 Ground Floor, Precious Complex, Area 3 Sitio Talanay, Brgy. Batasan Hills","Lot 16 Block 26 Ground Floor, Precious Complex, Area 3 Sitio Talanay, Barangay Batasan Hills, Quezon City, Philippines",Batasan Hills,2,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.099086,14.683621,#N/A,#N/A,#N/A,#N/A,Administrative data
71,Area 5,"Lot 1 Block 18, Baesang Pass St., Area 5, Sitio Veterans, Brgy. Bagong Silangan","Lot 1 Block 18, Baesang Pass Street, Area 5, Sitio Veterans, Barangay Bagong Silangan, Quezon City, Philippines",Bagong Silangan,2,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.109457,14.7043112,#N/A,#N/A,#N/A,#N/A,Administrative data
72,Area I Luzon,"Mafran Area I, Brgy. Matandang Balara","Mafran Area I, Barangay Matandang Balara, Quezon City, Philippines",Matandang Balara,3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0743781,14.6717796,#N/A,#N/A,#N/A,#N/A,Administrative data
73,Area VA,"Area 5 Luzon near INC Church, Brgy. Matandang Balara","Area 5 Luzon near INC Church, Barangay Matandang Balara, Quezon City, Philippines",Matandang Balara,3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0700149,14.6714426,#N/A,#N/A,#N/A,#N/A,Administrative data
74,Area VB,"2nd floor, Old Balara, Area 5 Luzon, Brgy. Matandang Balara","2nd floor, Old Balara, Area 5 Luzon, Barangay Matandang Balara, Quezon City, Philippines",Matandang Balara,3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0764152,14.6727334,#N/A,#N/A,#N/A,#N/A,Administrative data
75,Asamba,Asamba Compound Sitio Compound,"Asamba Compound Sitio Compound, Quezon City, Philippines",Baesa,6,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0164817,14.665528,#N/A,#N/A,#N/A,#N/A,Administrative data
79,Asprer,"Area 6, Bgy. Bagong Silangan, Brgy. Bagong Silangan","Area 6, Barangay Bagong Silangan, Barangay Bagong Silangan, Quezon City, Philippines",Bagong Silangan,2,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.109457,14.7043112,#N/A,#N/A,#N/A,#N/A,Administrative data
94,Avon,"13-A Avon St., North Fairview Subd., Brgy. North Fairview","13-A Avon Street, North Fairview Subdivision, Barangay North Fairview, Quezon City, Philippines",North Fairview,5,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0650054,14.7085248,#N/A,#N/A,#N/A,#N/A,Administrative data
